"","LGA","Dates","Capacity","Installations"
"6771","Dalwallinu (S)","2015-11-01",0,0
"6772","Dalwallinu (S)","2015-12-01",10.07,1
"6773","Dalwallinu (S)","2016-01-01",3.12,1
"6774","Dalwallinu (S)","2016-02-01",0,0
"6775","Dalwallinu (S)","2016-03-01",11,2
"6776","Dalwallinu (S)","2016-04-01",10.54,3
"6777","Dalwallinu (S)","2016-05-01",35.16,8
"6778","Dalwallinu (S)","2016-06-01",11.24,2
"6779","Dalwallinu (S)","2016-07-01",7.25,2
"6780","Dalwallinu (S)","2016-08-01",6,2
"6781","Dalwallinu (S)","2016-09-01",0,0
"6782","Dalwallinu (S)","2016-10-01",0,0
"6783","Dalwallinu (S)","2016-11-01",0,0
"6784","Dalwallinu (S)","2016-12-01",0,0
"6785","Dalwallinu (S)","2017-01-01",0,0
"6786","Dalwallinu (S)","2017-02-01",17.85,3
"6787","Dalwallinu (S)","2017-03-01",0,0
"6788","Dalwallinu (S)","2017-04-01",28.62,1
"6789","Dalwallinu (S)","2017-05-01",13.16,1
"6790","Dalwallinu (S)","2017-06-01",6.095,1
"6791","Dalwallinu (S)","2017-07-01",0,0
"6792","Dalwallinu (S)","2017-08-01",0,0
"6793","Dalwallinu (S)","2017-09-01",0,0
"6794","Dalwallinu (S)","2017-10-01",0,0
"6795","Dalwallinu (S)","2017-11-01",0,0
"6796","Dalwallinu (S)","2017-12-01",20.18,3
"6797","Dalwallinu (S)","2018-01-01",15.95,3
"6798","Dalwallinu (S)","2018-02-01",31.01,4
"6799","Dalwallinu (S)","2018-03-01",6.38,1
"6800","Dalwallinu (S)","2018-04-01",11,2
"6801","Dalwallinu (S)","2018-05-01",7.56,1
"6802","Dalwallinu (S)","2018-06-01",61.8,7
"6803","Dalwallinu (S)","2018-07-01",6.27,1
"6804","Dalwallinu (S)","2018-08-01",6.6,1
"6805","Dalwallinu (S)","2018-09-01",19.95,1
"6806","Dalwallinu (S)","2018-10-01",6.6,1
"6807","Dalwallinu (S)","2018-11-01",0,0
"6808","Dalwallinu (S)","2018-12-01",19.8,3
"6809","Dalwallinu (S)","2019-01-01",0,0
"6810","Dalwallinu (S)","2019-02-01",42.9,3
"6811","Dalwallinu (S)","2019-03-01",0,0
"6812","Dalwallinu (S)","2019-04-01",44.825,7
"6813","Dalwallinu (S)","2019-05-01",31.35,3
"6814","Dalwallinu (S)","2019-06-01",6.615,1
"6815","Dalwallinu (S)","2019-07-01",25.7,4
"6816","Dalwallinu (S)","2019-08-01",0,0
"6817","Dalwallinu (S)","2019-09-01",6.6,1
"6818","Dalwallinu (S)","2019-10-01",31.8,2
"6819","Dalwallinu (S)","2019-11-01",0,0
"6820","Dalwallinu (S)","2019-12-01",0,0
"6821","Dandaragan (S)","2001-04-01",0,0
"6822","Dandaragan (S)","2001-05-01",0,0
"6823","Dandaragan (S)","2001-06-01",0,0
"6824","Dandaragan (S)","2001-07-01",0,0
"6825","Dandaragan (S)","2001-08-01",0,0
"6826","Dandaragan (S)","2001-09-01",0,0
"6827","Dandaragan (S)","2001-10-01",0,0
"6828","Dandaragan (S)","2001-11-01",0,0
"6829","Dandaragan (S)","2001-12-01",0,0
"6830","Dandaragan (S)","2002-01-01",0,0
"6831","Dandaragan (S)","2002-02-01",0,0
"6832","Dandaragan (S)","2002-03-01",0,0
"6833","Dandaragan (S)","2002-04-01",0,0
"6834","Dandaragan (S)","2002-05-01",0,0
"6835","Dandaragan (S)","2002-06-01",0,0
"6836","Dandaragan (S)","2002-07-01",0,0
"6837","Dandaragan (S)","2002-08-01",0,0
"6838","Dandaragan (S)","2002-09-01",0,0
"6839","Dandaragan (S)","2002-10-01",0,0
"6840","Dandaragan (S)","2002-11-01",0,0
"6841","Dandaragan (S)","2002-12-01",0,0
"6842","Dandaragan (S)","2004-01-01",0,0
"6843","Dandaragan (S)","2004-02-01",0,0
"6844","Dandaragan (S)","2004-03-01",0,0
"6845","Dandaragan (S)","2004-04-01",0,0
"6846","Dandaragan (S)","2004-05-01",0,0
"6847","Dandaragan (S)","2004-06-01",0,0
"6848","Dandaragan (S)","2004-07-01",0,0
"6849","Dandaragan (S)","2004-08-01",0,0
"6850","Dandaragan (S)","2004-09-01",0,0
"6851","Dandaragan (S)","2004-10-01",0,0
"6852","Dandaragan (S)","2004-11-01",0,0
"6853","Dandaragan (S)","2004-12-01",0,0
"6854","Dandaragan (S)","2005-01-01",0,0
"6855","Dandaragan (S)","2005-02-01",0,0
"6856","Dandaragan (S)","2005-03-01",0,0
"6857","Dandaragan (S)","2005-04-01",0,0
"6858","Dandaragan (S)","2005-05-01",0,0
"6859","Dandaragan (S)","2005-06-01",0,0
"6860","Dandaragan (S)","2005-07-01",0,0
"6861","Dandaragan (S)","2005-08-01",0,0
"6862","Dandaragan (S)","2005-09-01",0,0
"6863","Dandaragan (S)","2005-10-01",0,0
"6864","Dandaragan (S)","2005-11-01",0,0
"6865","Dandaragan (S)","2005-12-01",0,0
"6866","Dandaragan (S)","2006-01-01",0,0
"6867","Dandaragan (S)","2006-02-01",0,0
"6868","Dandaragan (S)","2006-03-01",0,0
"6869","Dandaragan (S)","2006-04-01",0,0
"6870","Dandaragan (S)","2006-05-01",0,0
"6871","Dandaragan (S)","2006-06-01",0,0
"6872","Dandaragan (S)","2006-07-01",0,0
"6873","Dandaragan (S)","2006-08-01",0,0
"6874","Dandaragan (S)","2006-09-01",0,0
"6875","Dandaragan (S)","2006-10-01",0,0
"6876","Dandaragan (S)","2006-11-01",0,0
"6877","Dandaragan (S)","2006-12-01",0,0
"6878","Dandaragan (S)","2007-01-01",0,0
"6879","Dandaragan (S)","2007-02-01",0,0
"6880","Dandaragan (S)","2007-03-01",0,0
"6881","Dandaragan (S)","2007-04-01",0,0
"6882","Dandaragan (S)","2007-05-01",0,0
"6883","Dandaragan (S)","2007-06-01",0,0
"6884","Dandaragan (S)","2007-07-01",0.125,1
"6885","Dandaragan (S)","2007-08-01",0,0
"6886","Dandaragan (S)","2007-09-01",2,1
"6887","Dandaragan (S)","2007-10-01",4.92,2
"6888","Dandaragan (S)","2007-11-01",0,0
"6889","Dandaragan (S)","2007-12-01",0,0
"6890","Dandaragan (S)","2008-01-01",0,0
"6891","Dandaragan (S)","2008-02-01",0,0
"6892","Dandaragan (S)","2008-03-01",0,0
"6893","Dandaragan (S)","2008-04-01",0,0
"6894","Dandaragan (S)","2008-05-01",0,0
"6895","Dandaragan (S)","2008-06-01",4.5,2
"6896","Dandaragan (S)","2008-07-01",0,0
"6897","Dandaragan (S)","2008-08-01",0,0
"6898","Dandaragan (S)","2008-09-01",0,0
"6899","Dandaragan (S)","2008-10-01",0,0
"6900","Dandaragan (S)","2008-11-01",0,0
"6901","Dandaragan (S)","2008-12-01",0,0
"6902","Dandaragan (S)","2009-01-01",0.96,1
"6903","Dandaragan (S)","2009-02-01",0,0
"6904","Dandaragan (S)","2009-03-01",7.2,2
"6905","Dandaragan (S)","2009-04-01",0,0
"6906","Dandaragan (S)","2009-05-01",0,0
"6907","Dandaragan (S)","2009-06-01",7.46,6
"6908","Dandaragan (S)","2009-07-01",0,0
"6909","Dandaragan (S)","2009-08-01",3.6,1
"6910","Dandaragan (S)","2009-09-01",8.86,3
"6911","Dandaragan (S)","2009-10-01",12.66,7
"6912","Dandaragan (S)","2009-11-01",0,0
"6913","Dandaragan (S)","2009-12-01",2.04,1
"6914","Dandaragan (S)","2010-01-01",2.1,2
"6915","Dandaragan (S)","2010-02-01",2.55,2
"6916","Dandaragan (S)","2010-03-01",3.72,3
"6917","Dandaragan (S)","2010-04-01",3.62,2
"6918","Dandaragan (S)","2010-05-01",7.16,4
"6919","Dandaragan (S)","2010-06-01",1.62,1
"6920","Dandaragan (S)","2010-07-01",12.2,6
"6921","Dandaragan (S)","2010-08-01",6.445,4
"6922","Dandaragan (S)","2010-09-01",19.02,8
"6923","Dandaragan (S)","2010-10-01",14.2,6
"6924","Dandaragan (S)","2010-11-01",6.66,3
"6925","Dandaragan (S)","2010-12-01",7.71,3
"6926","Dandaragan (S)","2011-01-01",4.54,3
"6927","Dandaragan (S)","2011-02-01",56.955,11
"6928","Dandaragan (S)","2011-03-01",35.305,14
"6929","Dandaragan (S)","2011-04-01",29.4,11
"6930","Dandaragan (S)","2011-05-01",77.86,27
"6931","Dandaragan (S)","2011-06-01",92.974,34
"6932","Dandaragan (S)","2011-07-01",53.347,18
"6933","Dandaragan (S)","2011-08-01",38.94,13
"6934","Dandaragan (S)","2011-09-01",83.975,26
"6935","Dandaragan (S)","2011-10-01",7.745,4
"6936","Dandaragan (S)","2011-11-01",8.69,4
"6937","Dandaragan (S)","2011-12-01",23.345,11
"6938","Dandaragan (S)","2012-01-01",4.54,3
"6939","Dandaragan (S)","2012-02-01",56.955,11
"6940","Dandaragan (S)","2012-03-01",35.305,14
"6941","Dandaragan (S)","2012-04-01",29.4,11
"6942","Dandaragan (S)","2012-05-01",77.86,27
"6943","Dandaragan (S)","2012-06-01",92.974,34
"6944","Dandaragan (S)","2012-07-01",53.347,18
"6945","Dandaragan (S)","2012-08-01",38.94,13
"6946","Dandaragan (S)","2012-09-01",83.975,26
"6947","Dandaragan (S)","2012-10-01",7.745,4
"6948","Dandaragan (S)","2012-11-01",8.69,4
"6949","Dandaragan (S)","2012-12-01",23.345,11
"6950","Dandaragan (S)","2013-01-01",8.76,4
"6951","Dandaragan (S)","2013-02-01",4.5,2
"6952","Dandaragan (S)","2013-03-01",8,2
"6953","Dandaragan (S)","2013-04-01",12,4
"6954","Dandaragan (S)","2013-05-01",12.74,4
"6955","Dandaragan (S)","2013-06-01",33.4,11
"6956","Dandaragan (S)","2013-07-01",18.232,4
"6957","Dandaragan (S)","2013-08-01",12.35,4
"6958","Dandaragan (S)","2013-09-01",11,3
"6959","Dandaragan (S)","2013-10-01",21,6
"6960","Dandaragan (S)","2013-11-01",5,1
"6961","Dandaragan (S)","2013-12-01",17,2
"6962","Dandaragan (S)","2014-01-01",16.07,5
"6963","Dandaragan (S)","2014-02-01",18.45,6
"6964","Dandaragan (S)","2014-03-01",20.75,6
"6965","Dandaragan (S)","2014-04-01",14.16,3
"6966","Dandaragan (S)","2014-05-01",16,4
"6967","Dandaragan (S)","2014-06-01",55,5
"6968","Dandaragan (S)","2014-07-01",28.415,7
"6969","Dandaragan (S)","2014-08-01",43.12,8
"6970","Dandaragan (S)","2014-09-01",32.92,9
"6971","Dandaragan (S)","2014-10-01",62.475,17
"6972","Dandaragan (S)","2014-11-01",45.85,10
"6973","Dandaragan (S)","2014-12-01",17.65,5
"6974","Dandaragan (S)","2015-01-01",21,6
"6975","Dandaragan (S)","2015-02-01",10.35,3
"6976","Dandaragan (S)","2015-03-01",12.14,4
"6977","Dandaragan (S)","2015-04-01",21.07,3
"6978","Dandaragan (S)","2015-05-01",11.7,3
"6979","Dandaragan (S)","2015-06-01",52.5,5
"6980","Dandaragan (S)","2015-07-01",13,3
"6981","Dandaragan (S)","2015-08-01",27.8,5
"6982","Dandaragan (S)","2015-09-01",38,7
"6983","Dandaragan (S)","2015-10-01",90.46,13
"6984","Dandaragan (S)","2015-11-01",19.7,4
"6985","Dandaragan (S)","2015-12-01",59.67,5
"6986","Dandaragan (S)","2016-01-01",13.74,3
"6987","Dandaragan (S)","2016-02-01",25.26,8
"6988","Dandaragan (S)","2016-03-01",34.06,10
"6989","Dandaragan (S)","2016-04-01",40.21,9
"6990","Dandaragan (S)","2016-05-01",54.71,8
"6991","Dandaragan (S)","2016-06-01",45.44,9
"6992","Dandaragan (S)","2016-07-01",45.025,10
"6993","Dandaragan (S)","2016-08-01",35.07,7
"6994","Dandaragan (S)","2016-09-01",30.74,6
"6995","Dandaragan (S)","2016-10-01",28.78,6
"6996","Dandaragan (S)","2016-11-01",26.56,7
"6997","Dandaragan (S)","2016-12-01",49.07,6
"6998","Dandaragan (S)","2017-01-01",76.04,8
"6999","Dandaragan (S)","2017-02-01",55.155,12
"7000","Dandaragan (S)","2017-03-01",40.185,9
"7001","Dandaragan (S)","2017-04-01",85.189,6
"7002","Dandaragan (S)","2017-05-01",60.2,12
"7003","Dandaragan (S)","2017-06-01",85.745,10
"7004","Dandaragan (S)","2017-07-01",48.01,8
"7005","Dandaragan (S)","2017-08-01",75.81,14
"7006","Dandaragan (S)","2017-09-01",31.99,6
"7007","Dandaragan (S)","2017-10-01",50.89,8
"7008","Dandaragan (S)","2017-11-01",141.67,9
"7009","Dandaragan (S)","2017-12-01",32.75,6
"7010","Dandaragan (S)","2018-01-01",49.095,8
"7011","Dandaragan (S)","2018-02-01",57.92,10
"7012","Dandaragan (S)","2018-03-01",32.085,6
"7013","Dandaragan (S)","2018-04-01",27.54,4
"7014","Dandaragan (S)","2018-05-01",33.87,7
"7015","Dandaragan (S)","2018-06-01",48.155,7
"7016","Dandaragan (S)","2018-07-01",100.9,15
"7017","Dandaragan (S)","2018-08-01",47.72,7
"7018","Dandaragan (S)","2018-09-01",59.075,10
"7019","Dandaragan (S)","2018-10-01",70.77,11
"7020","Dandaragan (S)","2018-11-01",135.924,22
"7021","Dandaragan (S)","2018-12-01",67.73,10
"7022","Dandaragan (S)","2019-01-01",58.56,10
"7023","Dandaragan (S)","2019-02-01",119.355,16
"7024","Dandaragan (S)","2019-03-01",74.59,13
"7025","Dandaragan (S)","2019-04-01",42.85,8
"7026","Dandaragan (S)","2019-05-01",70.51,9
"7027","Dandaragan (S)","2019-06-01",53.24,9
"7028","Dandaragan (S)","2019-07-01",43.425,7
"7029","Dandaragan (S)","2019-08-01",43.27,7
"7030","Dandaragan (S)","2019-09-01",39.48,6
"7031","Dandaragan (S)","2019-10-01",37.965,6
"7032","Dandaragan (S)","2019-11-01",52.725,11
"7033","Dandaragan (S)","2019-12-01",60.955,9
"7034","Dardanup (S)","2001-04-01",0,0
"7035","Dardanup (S)","2001-05-01",0,0
"7036","Dardanup (S)","2001-06-01",0,0
"7037","Dardanup (S)","2001-07-01",0,0
"7038","Dardanup (S)","2001-08-01",0,0
"7039","Dardanup (S)","2001-09-01",0,0
"7040","Dardanup (S)","2001-10-01",0,0
"7041","Dardanup (S)","2001-11-01",0,0
"7042","Dardanup (S)","2001-12-01",0,0
"7043","Dardanup (S)","2002-01-01",0,0
"7044","Dardanup (S)","2002-02-01",0,0
"7045","Dardanup (S)","2002-03-01",0,0
"7046","Dardanup (S)","2002-04-01",0,0
"7047","Dardanup (S)","2002-05-01",0,0
"7048","Dardanup (S)","2002-06-01",0,0
"7049","Dardanup (S)","2002-07-01",0,0
"7050","Dardanup (S)","2002-08-01",0,0
"7051","Dardanup (S)","2002-09-01",0,0
"7052","Dardanup (S)","2002-10-01",0,0
"7053","Dardanup (S)","2002-11-01",0,0
"7054","Dardanup (S)","2002-12-01",0,0
"7055","Dardanup (S)","2004-01-01",0,0
"7056","Dardanup (S)","2004-02-01",0,0
"7057","Dardanup (S)","2004-03-01",0,0
"7058","Dardanup (S)","2004-04-01",0,0
"7059","Dardanup (S)","2004-05-01",0,0
"7060","Dardanup (S)","2004-06-01",0,0
"7061","Dardanup (S)","2004-07-01",0,0
"7062","Dardanup (S)","2004-08-01",0,0
"7063","Dardanup (S)","2004-09-01",0,0
"7064","Dardanup (S)","2004-10-01",0,0
"7065","Dardanup (S)","2004-11-01",0,0
"7066","Dardanup (S)","2004-12-01",0,0
"7067","Dardanup (S)","2005-01-01",0,0
"7068","Dardanup (S)","2005-02-01",0,0
"7069","Dardanup (S)","2005-03-01",0,0
"7070","Dardanup (S)","2005-04-01",0,0
"7071","Dardanup (S)","2005-05-01",0,0
"7072","Dardanup (S)","2005-06-01",0,0
"7073","Dardanup (S)","2005-07-01",0,0
"7074","Dardanup (S)","2005-08-01",0,0
"7075","Dardanup (S)","2005-09-01",0,0
"7076","Dardanup (S)","2005-10-01",0,0
"7077","Dardanup (S)","2005-11-01",0,0
"7078","Dardanup (S)","2005-12-01",0,0
"7079","Dardanup (S)","2006-01-01",0,0
"7080","Dardanup (S)","2006-02-01",0,0
"7081","Dardanup (S)","2006-03-01",0,0
"7082","Dardanup (S)","2006-04-01",0,0
"7083","Dardanup (S)","2006-05-01",0,0
"7084","Dardanup (S)","2006-06-01",0,0
"7085","Dardanup (S)","2006-07-01",0,0
"7086","Dardanup (S)","2006-08-01",0,0
"7087","Dardanup (S)","2006-09-01",0,0
"7088","Dardanup (S)","2006-10-01",0,0
"7089","Dardanup (S)","2006-11-01",0,0
"7090","Dardanup (S)","2006-12-01",0.24,1
"7091","Dardanup (S)","2007-01-01",0,0
"7092","Dardanup (S)","2007-02-01",0,0
"7093","Dardanup (S)","2007-03-01",0.16,1
"7094","Dardanup (S)","2007-04-01",0,0
"7095","Dardanup (S)","2007-05-01",0,0
"7096","Dardanup (S)","2007-06-01",0,0
"7097","Dardanup (S)","2007-07-01",0,0
"7098","Dardanup (S)","2007-08-01",0,0
"7099","Dardanup (S)","2007-09-01",0,0
"7100","Dardanup (S)","2007-10-01",0,0
"7101","Dardanup (S)","2007-11-01",0.125,1
"7102","Dardanup (S)","2007-12-01",0.96,1
"7103","Dardanup (S)","2008-01-01",2.16,2
"7104","Dardanup (S)","2008-02-01",1.05,1
"7105","Dardanup (S)","2008-03-01",2.52,2
"7106","Dardanup (S)","2008-04-01",0,0
"7107","Dardanup (S)","2008-05-01",1.29,1
"7108","Dardanup (S)","2008-06-01",1.08,1
"7109","Dardanup (S)","2008-07-01",0,0
"7110","Dardanup (S)","2008-08-01",4.8,1
"7111","Dardanup (S)","2008-09-01",0,0
"7112","Dardanup (S)","2008-10-01",0,0
"7113","Dardanup (S)","2008-11-01",2.15,1
"7114","Dardanup (S)","2008-12-01",0,0
"7115","Dardanup (S)","2009-01-01",4.53,4
"7116","Dardanup (S)","2009-02-01",4.175,4
"7117","Dardanup (S)","2009-03-01",3.03,2
"7118","Dardanup (S)","2009-04-01",4.995,2
"7119","Dardanup (S)","2009-05-01",2.13,2
"7120","Dardanup (S)","2009-06-01",6.76,6
"7121","Dardanup (S)","2009-07-01",1.02,1
"7122","Dardanup (S)","2009-08-01",3.51,2
"7123","Dardanup (S)","2009-09-01",7.5,5
"7124","Dardanup (S)","2009-10-01",4.71,3
"7125","Dardanup (S)","2009-11-01",6.2,5
"7126","Dardanup (S)","2009-12-01",12.9,9
"7127","Dardanup (S)","2010-01-01",9.36,5
"7128","Dardanup (S)","2010-02-01",16.14,10
"7129","Dardanup (S)","2010-03-01",17.08,9
"7130","Dardanup (S)","2010-04-01",8.96,6
"7131","Dardanup (S)","2010-05-01",21.85,12
"7132","Dardanup (S)","2010-06-01",26.97,14
"7133","Dardanup (S)","2010-07-01",35.22,19
"7134","Dardanup (S)","2010-08-01",44.165,23
"7135","Dardanup (S)","2010-09-01",50.24,26
"7136","Dardanup (S)","2010-10-01",63.13,30
"7137","Dardanup (S)","2010-11-01",59.09,33
"7138","Dardanup (S)","2010-12-01",62,29
"7139","Dardanup (S)","2011-01-01",114.325,56
"7140","Dardanup (S)","2011-02-01",77.41,33
"7141","Dardanup (S)","2011-03-01",98.525,48
"7142","Dardanup (S)","2011-04-01",93.505,45
"7143","Dardanup (S)","2011-05-01",123.77,58
"7144","Dardanup (S)","2011-06-01",169.45,75
"7145","Dardanup (S)","2011-07-01",79.155,37
"7146","Dardanup (S)","2011-08-01",107.57,41
"7147","Dardanup (S)","2011-09-01",110.225,44
"7148","Dardanup (S)","2011-10-01",47.475,26
"7149","Dardanup (S)","2011-11-01",29.22,30
"7150","Dardanup (S)","2011-12-01",29.85,22
"7151","Dardanup (S)","2012-01-01",114.325,56
"7152","Dardanup (S)","2012-02-01",77.41,33
"7153","Dardanup (S)","2012-03-01",98.525,48
"7154","Dardanup (S)","2012-04-01",93.505,45
"7155","Dardanup (S)","2012-05-01",123.77,58
"7156","Dardanup (S)","2012-06-01",169.45,75
"7157","Dardanup (S)","2012-07-01",79.155,37
"7158","Dardanup (S)","2012-08-01",107.57,41
"7159","Dardanup (S)","2012-09-01",110.225,44
"7160","Dardanup (S)","2012-10-01",47.475,26
"7161","Dardanup (S)","2012-11-01",29.22,30
"7162","Dardanup (S)","2012-12-01",29.85,22
"7163","Dardanup (S)","2013-01-01",44.032,14
"7164","Dardanup (S)","2013-02-01",26.085,10
"7165","Dardanup (S)","2013-03-01",31.19,11
"7166","Dardanup (S)","2013-04-01",27.795,12
"7167","Dardanup (S)","2013-05-01",25.22,7
"7168","Dardanup (S)","2013-06-01",9.075,5
"7169","Dardanup (S)","2013-07-01",24.75,13
"7170","Dardanup (S)","2013-08-01",20.35,12
"7171","Dardanup (S)","2013-09-01",25.562,11
"7172","Dardanup (S)","2013-10-01",25.645,10
"7173","Dardanup (S)","2013-11-01",30.347,12
"7174","Dardanup (S)","2013-12-01",39.035,10
"7175","Dardanup (S)","2014-01-01",18.65,7
"7176","Dardanup (S)","2014-02-01",26,9
"7177","Dardanup (S)","2014-03-01",23.04,5
"7178","Dardanup (S)","2014-04-01",28.25,9
"7179","Dardanup (S)","2014-05-01",14.75,6
"7180","Dardanup (S)","2014-06-01",29.89,10
"7181","Dardanup (S)","2014-07-01",28.39,10
"7182","Dardanup (S)","2014-08-01",19.785,6
"7183","Dardanup (S)","2014-09-01",57.2,14
"7184","Dardanup (S)","2014-10-01",32.75,9
"7185","Dardanup (S)","2014-11-01",66.39,14
"7186","Dardanup (S)","2014-12-01",53.275,17
"7187","Dardanup (S)","2015-01-01",31.54,9
"7188","Dardanup (S)","2015-02-01",26.2,8
"7189","Dardanup (S)","2015-03-01",42.285,14
"7190","Dardanup (S)","2015-04-01",65.18,14
"7191","Dardanup (S)","2015-05-01",46.51,13
"7192","Dardanup (S)","2015-06-01",33.955,10
"7193","Dardanup (S)","2015-07-01",35.965,10
"7194","Dardanup (S)","2015-08-01",62.16,17
"7195","Dardanup (S)","2015-09-01",39.6,11
"7196","Dardanup (S)","2015-10-01",60.43,19
"7197","Dardanup (S)","2015-11-01",55.03,18
"7198","Dardanup (S)","2015-12-01",41.12,10
"7199","Dardanup (S)","2016-01-01",67.11,15
"7200","Dardanup (S)","2016-02-01",50.67,12
"7201","Dardanup (S)","2016-03-01",28.74,7
"7202","Dardanup (S)","2016-04-01",53.88,13
"7203","Dardanup (S)","2016-05-01",82.415,18
"7204","Dardanup (S)","2016-06-01",117.14,28
"7205","Dardanup (S)","2016-07-01",32.02,9
"7206","Dardanup (S)","2016-08-01",14.08,3
"7207","Dardanup (S)","2016-09-01",66.07,13
"7208","Dardanup (S)","2016-10-01",87.745,20
"7209","Dardanup (S)","2016-11-01",104.554,21
"7210","Dardanup (S)","2016-12-01",84.685,15
"7211","Dardanup (S)","2017-01-01",152.405,22
"7212","Dardanup (S)","2017-02-01",47.68,7
"7213","Dardanup (S)","2017-03-01",106.94,20
"7214","Dardanup (S)","2017-04-01",84.325,14
"7215","Dardanup (S)","2017-05-01",35.19,9
"7216","Dardanup (S)","2017-06-01",70.29,11
"7217","Dardanup (S)","2017-07-01",85.569,14
"7218","Dardanup (S)","2017-08-01",81.215,16
"7219","Dardanup (S)","2017-09-01",75.57,14
"7220","Dardanup (S)","2017-10-01",81.63,16
"7221","Dardanup (S)","2017-11-01",81.932,17
"7222","Dardanup (S)","2017-12-01",100.08,21
"7223","Dardanup (S)","2018-01-01",94.77,17
"7224","Dardanup (S)","2018-02-01",91.325,19
"7225","Dardanup (S)","2018-03-01",77.48,13
"7226","Dardanup (S)","2018-04-01",101.875,18
"7227","Dardanup (S)","2018-05-01",223.79,22
"7228","Dardanup (S)","2018-06-01",79.365,12
"7229","Dardanup (S)","2018-07-01",121.389,20
"7230","Dardanup (S)","2018-08-01",61.045,14
"7231","Dardanup (S)","2018-09-01",137.845,22
"7232","Dardanup (S)","2018-10-01",140.53,28
"7233","Dardanup (S)","2018-11-01",142.225,26
"7234","Dardanup (S)","2018-12-01",177.275,32
"7235","Dardanup (S)","2019-01-01",112.695,18
"7236","Dardanup (S)","2019-02-01",114.515,19
"7237","Dardanup (S)","2019-03-01",102.21,19
"7238","Dardanup (S)","2019-04-01",73.33,14
"7239","Dardanup (S)","2019-05-01",139.92,23
"7240","Dardanup (S)","2019-06-01",82.39,14
"7241","Dardanup (S)","2019-07-01",174.19,30
"7242","Dardanup (S)","2019-08-01",133.095,23
"7243","Dardanup (S)","2019-09-01",137.58,22
"7244","Dardanup (S)","2019-10-01",172.69,28
"7245","Dardanup (S)","2019-11-01",114.135,20
"7246","Dardanup (S)","2019-12-01",158.615,27
"7247","Denmark (S)","2001-04-01",0,0
"7248","Denmark (S)","2001-05-01",0,0
"7249","Denmark (S)","2001-06-01",0,0
"7250","Denmark (S)","2001-07-01",0,0
"7251","Denmark (S)","2001-08-01",0,0
"7252","Denmark (S)","2001-09-01",0,0
"7253","Denmark (S)","2001-10-01",0,0
"7254","Denmark (S)","2001-11-01",0,0
"7255","Denmark (S)","2001-12-01",0,0
"7256","Denmark (S)","2002-01-01",0,0
"7257","Denmark (S)","2002-02-01",0,0
"7258","Denmark (S)","2002-03-01",0,0
"7259","Denmark (S)","2002-04-01",0,0
"7260","Denmark (S)","2002-05-01",0,0
"7261","Denmark (S)","2002-06-01",0,0
"7262","Denmark (S)","2002-07-01",0,0
"7263","Denmark (S)","2002-08-01",0,0
"7264","Denmark (S)","2002-09-01",0,0
"7265","Denmark (S)","2002-10-01",0,0
"7266","Denmark (S)","2002-11-01",0,0
"7267","Denmark (S)","2002-12-01",0,0
"7268","Denmark (S)","2004-01-01",0,0
"7269","Denmark (S)","2004-02-01",0,0
"7270","Denmark (S)","2004-03-01",0,0
"7271","Denmark (S)","2004-04-01",0,0
"7272","Denmark (S)","2004-05-01",0,0
"7273","Denmark (S)","2004-06-01",0,0
"7274","Denmark (S)","2004-07-01",0,0
"7275","Denmark (S)","2004-08-01",0,0
"7276","Denmark (S)","2004-09-01",0,0
"7277","Denmark (S)","2004-10-01",0,0
"7278","Denmark (S)","2004-11-01",0,0
"7279","Denmark (S)","2004-12-01",0,0
"7280","Denmark (S)","2005-01-01",0,0
"7281","Denmark (S)","2005-02-01",0,0
"7282","Denmark (S)","2005-03-01",0,0
"7283","Denmark (S)","2005-04-01",0,0
"7284","Denmark (S)","2005-05-01",0,0
"7285","Denmark (S)","2005-06-01",0,0
"7286","Denmark (S)","2005-07-01",0,0
"7287","Denmark (S)","2005-08-01",0,0
"7288","Denmark (S)","2005-09-01",0,0
"7289","Denmark (S)","2005-10-01",0,0
"7290","Denmark (S)","2005-11-01",0,0
"7291","Denmark (S)","2005-12-01",0,0
"7292","Denmark (S)","2006-01-01",0,0
"7293","Denmark (S)","2006-02-01",0,0
"7294","Denmark (S)","2006-03-01",0,0
"7295","Denmark (S)","2006-04-01",0,0
"7296","Denmark (S)","2006-05-01",0,0
"7297","Denmark (S)","2006-06-01",0,0
"7298","Denmark (S)","2006-07-01",0,0
"7299","Denmark (S)","2006-08-01",0,0
"7300","Denmark (S)","2006-09-01",0,0
"7301","Denmark (S)","2006-10-01",0,0
"7302","Denmark (S)","2006-11-01",0,0
"7303","Denmark (S)","2006-12-01",0,0
"7304","Denmark (S)","2007-01-01",0,0
"7305","Denmark (S)","2007-02-01",0,0
"7306","Denmark (S)","2007-03-01",1.026,1
"7307","Denmark (S)","2007-04-01",0,0
"7308","Denmark (S)","2007-05-01",7.14,2
"7309","Denmark (S)","2007-06-01",3.1,1
"7310","Denmark (S)","2007-07-01",1.47,1
"7311","Denmark (S)","2007-08-01",0,0
"7312","Denmark (S)","2007-09-01",0,0
"7313","Denmark (S)","2007-10-01",0,0
"7314","Denmark (S)","2007-11-01",3.15,1
"7315","Denmark (S)","2007-12-01",3.8,2
"7316","Denmark (S)","2008-01-01",0,0
"7317","Denmark (S)","2008-02-01",7.45,2
